資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比
"1110125","3628","盈正","54.21","1.00000000","2.25","1.39"
"1110125","3629","地心引力","N/A","0.00000000","0.00","4.68"
"1110125","3630","新鉅科","N/A","0.00000000","0.00","1.69"
"1110125","3631","晟楠","N/A","0.00000000","0.00","2.79"
"1110125","3632","研勤","N/A","0.00000000","0.00","4.96"
"1110125","3642","駿熠電","N/A","0.00000000","0.00","2.04"
"1110125","3646","艾恩特","14.78","0.92324838","3.43","2.15"
"1110125","3652","精聯","12.84","0.15304912","0.74","0.85"
"1110125","3663","鑫科","36.67","0.80000000","2.69","1.90"
"1110125","3664","安瑞-KY","N/A","0.00000000","0.00","1.08"
"1110125","3666","光耀","25.55","2.00000000","6.58","1.21"
"1110125","3672","康聯訊","63.11","0.25000000","0.65","3.04"
"1110125","3675","德微","41.17","2.00000000","0.88","8.74"
"1110125","3680","家登","203.57","4.86147979","1.90","5.14"
"1110125","3684","榮昌","20.85","1.50000000","2.65","2.57"
"1110125","3685","元創精密","446.43","0.20000000","0.64","2.71"
"1110125","3687","歐買尬","61.66","0.59784687","0.43","5.96"
"1110125","3689","湧德","16.13","1.30000000","3.15","1.09"
"1110125","3691","碩禾","N/A","1.73380687","0.98","2.05"
"1110125","3693","營邦","31.52","0.70000000","1.35","1.21"
"1110125","3707","漢磊","5250.00","0.00000000","0.00","8.92"
"1110125","3709","鑫聯大投控","8.50","1.40000000","4.29","1.70"
"1110125","3710","連展投控","N/A","0.00000000","0.00","1.30"
"1110125","3713","新晶投控","62.11","0.00000000","0.00","4.49"
"1110125","4102","永日","71.85","0.10000000","0.52","1.60"
"1110125","4105","東洋","22.35","4.00000000","5.93","3.47"
"1110125","4107","邦特","17.67","4.00000000","3.48","2.98"
"1110125","4109","加捷生醫","N/A","0.00000000","0.00","1.27"
"1110125","4111","濟生","23.71","1.00000000","4.35","1.23"
"1110125","4113","聯上","59.38","0.30000000","2.11","0.87"
"1110125","4114","健喬","25.33","1.51122338","6.49","1.51"
"1110125","4116","明基醫","28.56","1.00000000","3.24","1.34"
"1110125","4120","友華","N/A","1.50000000","4.66","1.01"
"1110125","4121","優盛","11.71","1.12904424","5.78","1.15"
"1110125","4123","晟德","7.40","2.49292330","4.37","1.47"
"1110125","4126","太醫","12.93","4.20000000","5.53","2.07"
"1110125","4127","天良","76.56","0.00000000","0.00","1.44"
"1110125","4128","中天","N/A","0.98203027","1.69","2.30"
"1110125","4129","聯合","31.70","0.83391139","2.80","0.97"
"1110125","4130","健亞","N/A","0.61000000","2.52","1.89"
"1110125","4131","晶宇","N/A","0.00000000","0.00","2.23"
"1110125","4138","曜亞","14.01","3.50000000","6.63","1.26"
"1110125","4139","馬光-KY","33.11","1.60000000","3.80","4.27"
"1110125","4147","中裕","N/A","0.00000000","0.00","5.11"
"1110125","4153","鈺緯","87.41","0.26000000","1.10","1.40"
"1110125","4154","樂威科-KY","N/A","0.00000000","0.00","4.31"
"1110125","4157","太景*-KY","12.11","0.00000000","0.00","6.80"
"1110125","4160","創源","2455.00","0.00000000","0.00","1.82"
"1110125","4161","聿新科","1267.50","0.30000000","1.18","1.67"
"1110125","4162","智擎","10.68","2.53481970","4.16","2.29"
"1110125","4163","鐿鈦","21.37","3.50000000","4.15","2.19"
"1110125","4167","松瑞藥","42.44","0.66497296","3.82","1.65"
"1110125","4168","醣聯","N/A","0.00000000","0.00","1.94"
"1110125","4171","瑞基","10.30","3.83450357","3.74","4.23"
"1110125","4173","久裕","35.00","0.56023613","3.27","0.72"
"1110125","4174","浩鼎","N/A","0.00000000","0.00","6.61"
"1110125","4175","杏一","27.39","2.75492270","4.04","1.93"
"1110125","4183","福永生技","64.29","1.20000000","6.67","1.50"
"1110125","4188","安克","N/A","0.00000000","0.00","2.01"
"1110125","4192","杏國","N/A","0.00000000","0.00","6.24"
"1110125","4198","欣大健康","N/A","0.00000000","0.00","6.56"
"1110125","4205","中華食","36.51","3.00000000","2.33","6.71"
"1110125","4207","環泰","14.73","0.65000000","4.80","1.17"
"1110125","4303","信立","17.17","0.30000000","1.28","1.73"
"1110125","4304","勝昱","N/A","0.00000000","0.00","6.23"
"1110125","4305","世坤","15.93","1.80000000","5.71","1.74"
"1110125","4401","東隆興","13.82","1.00000000","2.94","1.57"
"1110125","4402","福大","N/A","0.00000000","0.00","1.08"
"1110125","4406","新昕纖","34.48","0.00000000","0.00","0.91"
"1110125","4413","飛寶企業","N/A","0.00000000","0.00","1.20"
"1110125","4416","三圓","6.55","0.00000000","0.00","2.77"
"1110125","4417","金洲","10.42","2.50000000","7.27","1.19"
"1110125","4419","元勝","20.53","0.00000000","0.00","3.56"
"1110125","4420","光明","15.00","3.00000000","9.22","1.07"
"1110125","4429","聚紡","43.70","0.00000000","0.00","1.77"
"1110125","4430","耀億","13.62","0.50000000","2.11","0.66"
"1110125","4432","銘旺實","N/A","0.00000000","0.00","0.68"
"1110125","4433","興采","72.50","2.00000000","6.57","1.11"
"1110125","4502","健信","N/A","0.00000000","0.00","4.27"
"1110125","4503","金雨","N/A","0.00000000","0.00","2.35"
"1110125","4506","崇友","15.69","3.00000000","4.57","2.58"
"1110125","4510","高鋒","N/A","0.00000000","0.00","0.63"
"1110125","4513","福裕","55.83","0.00000000","0.00","1.31"
"1110125","4523","永彰","N/A","0.00000000","0.00","1.94"
"1110125","4527","方土霖","12.15","2.00000000","7.38","1.50"
"1110125","4528","江興鍛","13.07","1.80000000","4.40","1.49"
"1110125","4529","淳紳","N/A","0.00000000","0.00","1.01"
"1110125","4530","宏易","N/A","0.00000000","0.00","1.62"
"1110125","4533","協易機","34.56","0.20000000","1.70","0.79"
"1110125","4534","慶騰","18.45","0.00000000","0.00","1.17"
"1110125","4535","至興","13.53","0.70000000","2.09","1.11"
"1110125","4538","大詠城","27.13","0.80000000","3.69","1.61"
"1110125","4541","晟田","N/A","0.20000000","0.92","0.92"
"1110125","4542","科嶠","118.54","1.00000000","3.51","1.51"
"1110125","4543","萬在","29.58","0.00000000","0.00","0.66"
"1110125","4549","桓達","14.77","4.48600000","4.91","2.77"
"1110125","4550","長佳","12.10","1.68000000","7.47","1.07"
"1110125","4554","橙的","20.90","0.14000000","0.47","1.55"
"1110125","4556","旭然","N/A","0.45000000","1.41","1.71"
"1110125","4561","健椿","10.21","0.90000000","3.10","1.59"
"1110125","4563","百德","N/A","0.00000000","0.00","1.38"
"1110125","4568","科際精密","14.68","4.00000000","5.96","1.90"
"1110125","4580","捷流閥業","12.33","5.11000000","5.61","2.20"
"1110125","4609","唐鋒","N/A","0.00000000","0.00","2.43"
"1110125","4702","中美實","11.45","0.00000000","0.00","0.95"
"1110125","4706","大恭","13.94","0.80000000","4.19","1.01"
"1110125","4707","磐亞","11.84","1.00000000","8.20","0.64"
"1110125","4711","永純","11.71","0.80000000","4.58","0.94"
"1110125","4714","永捷","44.17","0.43169790","3.26","1.11"
"1110125","4716","大立","6.02","0.24486895","1.72","1.00"
"1110125","4721","美琪瑪","35.71","1.39000000","1.05","7.78"
"1110125","4726","永昕","N/A","0.00000000","0.00","3.30"
"1110125","4728","雙美","20.50","2.00000000","2.12","5.56"
"1110125","4729","熒茂","N/A","0.00000000","0.00","1.36"
"1110125","4735","豪展","4.34","9.00000000","16.07","2.21"
"1110125","4736","泰博","8.98","11.42090754","5.98","2.50"
"1110125","4741","泓瀚","20.62","0.60000000","2.26","0.99"
"1110125","4743","合一","N/A","0.00000000","0.00","6.76"
"1110125","4744","皇將","23.13","1.20000000","3.53","1.77"
"1110125","4745","合富-KY","21.65","1.20000000","4.58","0.81"
"1110125","4747","強生","20.84","1.92000000","5.55","1.23"
"1110125","4754","國碳科","16.17","2.10000000","5.43","2.50"
"1110125","4760","勤凱","13.82","3.17378650","3.55","3.40"
"1110125","4767","誠泰科技","10.67","1.20000000","4.21","1.12"
"1110125","4804","大略-KY","89.50","0.00000000","0.00","0.65"
"1110125","4806","昇華","N/A","0.00000000","0.00","2.32"
"1110125","4903","聯光通","N/A","0.00000000","0.00","1.75"
"1110125","4905","台聯電","17.48","1.00000000","1.88","0.61"
"1110125","4907","富宇","16.78","1.20000000","4.90","1.57"
"1110125","4908","前鼎","20.07","1.10000000","4.06","1.39"
